,distance,patent_number
17091,0.0,10348391
17095,0.0,10348379
4460,0.0,10263632
4456,0.0,9838876
4455,0.0,10264459
4452,0.0,9826435
4451,0.0,9504038
4450,0.0,10264492
4440,0.0,10275036
4438,0.0,10136198
4437,0.0,9756402
4436,0.0,10277964
4435,0.0,9888300
4430,0.0,10278054
17100,0.0,10348366
17105,0.0,10348356
4425,0.0,10281994
17110,0.0,10348335
17115,0.0,10348327
17116,0.0,10348327
4420,0.0,10282233
17120,0.0,10348274
4418,0.0,10003349
4417,0.0,10284215
4415,0.0,9698806
4366,0.0,9943046
4365,0.0,10299447
4360,0.0,10303411
4312,0.0,9967646
4311,0.0,10313775
4310,0.0,10165346
4305,0.0,10314958
17275,0.0,10347115
17280,0.0,10347104
17281,0.0,10347104
4300,0.0,10315770
4296,0.0,10318076
4295,0.0,10318076
17285,0.0,10347101
17286,0.0,10347101
17290,0.0,10347095
17291,0.0,10347095
4290,0.0,10320330
17295,0.0,10347091
4285,0.0,10321541
17300,0.0,10347090
17301,0.0,10347090
4280,0.0,10326414
17305,0.0,10347089
4276,0.0,10326558
4275,0.0,10326558
17306,0.0,10347089
4270,0.0,10327125
17270,0.0,10347127
4315,0.0,9362941
4316,0.0,9698811
4317,0.0,10003350
17205,0.0,10347381
17210,0.0,10347374
17215,0.0,10347371
17220,0.0,10347342
4350,0.0,10305539
4345,0.0,10305570
17225,0.0,10347339
4341,0.0,9419836
4340,0.0,10305653
17230,0.0,10347290
17231,0.0,10347290
4336,0.0,10305695
4085,0.0,10346876
4335,0.0,9942051
17240,0.0,10347248
17245,0.0,10347211
4330,0.0,10306072
17250,0.0,10347197
17255,0.0,10347172
17256,0.0,10347172
4325,0.0,10307101
17260,0.0,10347136
17265,0.0,10347128
4321,0.0,10307111
4320,0.0,10307111
4318,0.0,10312928
17235,0.0,10347255
4465,0.0,10261739
17500,0.0,10346807
17506,0.0,10346800
17945,0.0,10344569
17950,0.0,10344500
3850,0.0,10347013
17960,0.0,10344455
17965,0.0,10344446
17966,0.0,10344446
3845,0.0,10347015
17970,0.0,10344385
17975,0.0,10343885
3840,0.0,10347016
17980,0.0,10343874
17985,0.0,10343845
3835,0.0,10347017
17990,0.0,10343818
17995,0.0,10343811
3830,0.0,10347018
18000,0.0,10343682
18005,0.0,10343649
3825,0.0,10347021
18010,0.0,10343629
18015,0.0,10351044
18016,0.0,10343589
18017,0.0,10343589
18020,0.0,10343535
3815,0.0,10347028
17940,0.0,10344586
18025,0.0,10343289
17935,0.0,10344954
17930,0.0,10345068
17852,0.0,10338220
17853,0.0,10338220
3895,0.0,10346998
17854,0.0,10345446
17855,0.0,10345421
3890,0.0,10346999
17860,0.0,10345383
17865,0.0,10345332
3885,0.0,10347000
17870,0.0,10345289
17875,0.0,10345221
3880,0.0,10347001
17880,0.0,10345219
17885,0.0,10345205
17890,0.0,10345203
3875,0.0,10347002
17895,0.0,10345202
17900,0.0,10345174
17905,0.0,10345170
17915,0.0,10345151
3865,0.0,10347008
17920,0.0,10345112
17925,0.0,10345078
3860,0.0,10347011
17926,0.0,10345078
3855,0.0,10347012
17851,0.0,10222474
18030,0.0,10343286
3810,0.0,10347030
3765,0.0,10347041
18155,0.0,10342478
3760,0.0,10347042
18160,0.0,10342467
18165,0.0,10342461
18170,0.0,10342438
18175,0.0,10342409
3755,0.0,10347043
18180,0.0,10342398
18185,0.0,10342395
18190,0.0,10342386
3750,0.0,10347045
18195,0.0,10342302
18200,0.0,10342299
3745,0.0,10347046
18205,0.0,10349680
18206,0.0,10349681
18207,0.0,10342263
3741,0.0,10347047
3740,0.0,10347047
18208,0.0,10349679
3735,0.0,10347048
18210,0.0,10342219
18215,0.0,10342218
18220,0.0,RE47488
18150,0.0,10342484
18035,0.0,10343145
18145,0.0,10342485
3770,0.0,10347040
